CASE NUMBER,CRIME TYPE,INCIDENT DATE,STATUS,STREET,CITY,STATE
146L11762,ARMED ROBBERY,30-DEC-14,CAPTURED,454 S. BENTALOU STREET,BALTIMORE,MD
144L09040,BURGLARY,30-DEC-14,CAPTURED,5707 NEWHOLME AVE,BALTIMORE,MD
144L11069,OTHER,29-DEC-14,CAPTURED,901 N. MILTON ST,BALTIMORE,MD
146L07556,UNARMED ROBBERY,19-DEC-14,CAPTURED,2334 GARRETT AVE,BALTIMORE,MD
147L05553,SHOOTING,14-DEC-14,CAPTURED,3905 W. GARRISON BLVD,BALTIMORE,MD
149L05518,HOME INVASION,14-DEC-14,CAPTURED,208 BRUCE STREET,BALTIMORE,MD
143L05061,AGGRAVATED ASSAULT,13-DEC-14,CAPTURED,1200 W. PRATT ST,BALTIMORE,MD
141L04499,ARMED ROBBERY,11-DEC-14,CAPTURED,400  ROBINSON RD.,BALTIMORE,MD
145L04460,ARMED ROBBERY,11-DEC-14,CAPTURED,7122 WALNUT AVE,BALTIMORE,MD
147L03760,UNARMED ROBBERY,10-DEC-14,CAPTURED,800 N. BENTLOU STREET,BALTIMORE,MD
145K08768,OTHER,04-DEC-14,CAPTURED,5009 HILLEN RD.,BALTIMORE,MD
148L03403,HOMICIDE,01-DEC-14,CAPTURED,2614 FREDERICK AVE,BALTIMORE,MD
144K12059,UNARMED ROBBERY,30-NOV-14,CAPTURED,4413 ORCHARD RIDGE BLVD,BALTIMORE,MD
146K09427,SEX OFFENSE,23-NOV-14,CAPTURED,3709 BELLEL AVE,BALTIMORE,MD
144K01581,ARMED ROBBERY,22-NOV-14,CAPTURED,5601 LOCH RAVEN BLVD,BALTIMORE,MD
146K08690,ARMED ROBBERY,21-NOV-14,CAPTURED,6709 REISTERSTOWN ROAD,BALTIMORE,MD
141K08201,CARJACKING,20-NOV-14,CAPTURED,813 BRIAR HILL PLACE APT B,BALTIMORE,MD
149K05972,ARMED ROBBERY,14-NOV-14,CAPTURED,500 MAUDE AVE,BALTIMORE,MD
141K03600,ARMED ROBBERY,09-NOV-14,CAPTURED,5500 WAYNE AVE,BALTIMORE,MD
142J02623,HOMICIDE,06-NOV-14,CAPTURED,1000 E. EAGER STREET,BALTIMORE,MD
146K00715,ARMED ROBBERY,02-NOV-14,CAPTURED,4600 PALL MALL,BALTIMORE,MD
145K00462,RAPE,02-NOV-14,CAPTURED,2203 WHITCOMB CIR APT. C,BALTIMORE,MD
146J12626,ARMED ROBBERY,29-OCT-14,CAPTURED,1700 ABBOTSON STREET,BALTIMORE,MD
145J11965,ARMED ROBBERY,27-OCT-14,CAPTURED,2400 E. BIDDLE ST,BALTIMORE,MD
