police-department,address,state,Latitude,Longitude,direction,north,south,east,west,cameras,district,post
BPD Monroe and Edmondson,N Monroe St & Edmondson Ave,"Baltimore, MD 21223",39.29443747,-76.67971751,SB,FALSE,TRUE,FALSE,FALSE,2,Western ,722
BPD Belvedere and Park Heights,W Belvedere Ave & Park Heights Ave,"Baltimore, MD 21215",39.35380409,-76.67718017,NB/ SB,TRUE,TRUE,FALSE,FALSE,2,Northwestern,633
BPD York and Woodbourne,Woodbourne Ave & York Rd,"Baltimore, MD 21212",39.36001038,-76.61058194,NB/ SB,TRUE,TRUE,FALSE,FALSE,2,Northern,523
BPD Belair and Lake,Lake Ave & Belair Rd,"Baltimore, MD 21218",39.32880772,-76.57255062,NB/ SB,TRUE,TRUE,FALSE,FALSE,2,Northeastern,432
BPD Horseshoe Casino Bayard at Warner,"1633 Warner St, Baltimore","Baltimore, MD 21230",39.27417405,-76.62702887,<Null>,FALSE,FALSE,FALSE,FALSE,4,Southern,941
BPD Horseshoe Casino Valet,"1525 Russell St, ","Baltimore, MD 21230",39.27895784,-76.62805884,<Null>,FALSE,FALSE,FALSE,FALSE,2,Southern,941
BPD Horseshoe Casino Worcester at Warner,,"Baltimore, MD 21230",39.28383278,-76.62627099,<Null>,FALSE,FALSE,FALSE,FALSE,3,Southern,941
BPD Baltimore and Calvert,E Baltimore St & S Calvert St,"Baltimore, MD 21202",39.29544913,-76.61280049,EB,FALSE,FALSE,TRUE,FALSE,3,Central,111
BPD North and Pennsylvania,W North Ave & Pennsylvania Ave,"Baltimore, MD 21217",39.31172031,-76.64243143,WB,FALSE,FALSE,FALSE,TRUE,2,Western ,733
BPD Gilmore and Baltimore,W Baltimore St & N Gilmor St,"Baltimore, MD 21218",39.28935425,-76.64220096,EB/ WB,FALSE,FALSE,TRUE,TRUE,2,Western ,711
E Baltimore St and S Highland Ave,E Baltimore St & S Highland Ave,"Baltimore, MD 21224",39.29466311,-76.56941099,EB/ WB/ NB/ SB,TRUE,TRUE,TRUE,TRUE,4,Southeastern,223
E Baltimore St and N Washington St,E Baltimore St & N Washington St,"Baltimore, MD 21231",39.29371188,-76.58861615,NB/ EB/ WB,TRUE,FALSE,TRUE,TRUE,3,Southeastern,212
Edmondson Ave and Mount Holly St,Mt Holly St & Edmondson Ave,"Baltimore, MD 21229",39.29553298,-76.67962082,EB/ WB,FALSE,FALSE,TRUE,TRUE,4,Southeastern,815
Harford Rd and E 25th Street,E 25th St & Harford Rd,"Baltimore, MD 21213",39.31997309,-76.59555683,NB/ SB,TRUE,TRUE,FALSE,FALSE,3,Eastern,314
Liberty Heights Ave and Gwynn Oak Ave,Gwynn Oak Ave & Liberty Heights Ave,"Baltimore, MD 21207",39.33191071,-76.69518864,EB/ WB,FALSE,FALSE,TRUE,TRUE,2,Northwestern,622
E 33rd St and Loch Raven Blvd,Loch Raven Blvd & E 33rd St,"Baltimore, MD 21218",39.3307535,-76.59780977,NB/ SB/ EB/ WB,TRUE,TRUE,TRUE,TRUE,4,Northwestern,411
