Latitude,Longitude,events-metadata-0,events-metadata-1
39.31041,-76.626983,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3118117,-76.632617,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.314184,-76.635583,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.31546,-76.643712,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3115717,-76.63967,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3136083,-76.64643,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3133283,-76.650277,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3106933,-76.648153,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3112133,-76.652718,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3105433,-76.659457,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3083367,-76.659328,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.30601,-76.659557,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3044933,-76.662937,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3039817,-76.65523,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.307554,-76.653668,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3047367,-76.652743,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3095583,-76.651462,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3073433,-76.650232,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.304945,-76.649328,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.308885,-76.647973,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.30778,-76.645108,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.304315,-76.642908,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.30487,-76.646607,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3098983,-76.64159,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3064383,-76.640423,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3094317,-76.636553,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3067933,-76.636433,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.30951,-76.633532,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.30311,-76.627948,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3013733,-76.626522,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2985083,-76.62658,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2959333,-76.62631,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2961217,-76.629857,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2998383,-76.630357,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3047133,-76.631773,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3035183,-76.635807,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.295045,-76.640088,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2976517,-76.640318,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3000933,-76.64246,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.297811,-76.644106,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3018383,-76.645195,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2952483,-76.649348,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2979583,-76.650433,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3019833,-76.652983,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2988333,-76.652242,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3002283,-76.655338,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3025317,-76.663495,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2983633,-76.665283,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2946217,-76.66483,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2937883,-76.659058,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.294665,-76.653058,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2894817,-76.66143,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2894417,-76.65792,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2915967,-76.653735,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2902217,-76.651422,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2924567,-76.649635,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2885833,-76.649755,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.289393,-76.645615,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.29179,-76.640845,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2914267,-76.646833,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.290045,-76.640007,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2923033,-76.634342,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2912983,-76.630902,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2931617,-76.6284,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.29155,-76.626455,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2887117,-76.62747,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2862233,-76.62668,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2876367,-76.633037,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.285657,-76.637948,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2881133,-76.638648,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2869983,-76.64273,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2848883,-76.643905,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.28743,-76.647523,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.284287,-76.65008,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.285583,-76.654024,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.28764,-76.654213,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.28281,-76.630767,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.286295,-76.659092,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2823867,-76.6565,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2812783,-76.653933,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2816633,-76.650222,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.279738,-76.649682,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2832917,-76.646882,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2817417,-76.643742,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2758267,-76.643753,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.28323,-76.64075,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2818533,-76.638332,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
