CASE NUMBER,CRIME TYPE,INCIDENT DATE,STATUS,STREET,CITY,STATE,Full Address,Latitude,Longitude
146L11762,ARMED ROBBERY,30-Dec-14,CAPTURED,454 S. BENTALOU STREET,BALTIMORE,MD,454 S. BENTALOU STREET BALTIMORE MD ,39.2820848,-76.6527252
144L09040,BURGLARY,30-Dec-14,CAPTURED,5707 NEWHOLME AVE,BALTIMORE,MD,5707 NEWHOLME AVE BALTIMORE MD ,39.3374289,-76.5378151
144L11069,OTHER,29-Dec-14,CAPTURED,901 N. MILTON ST,BALTIMORE,MD,901 N. MILTON ST BALTIMORE MD ,39.3016152,-76.5823252
146L07556,UNARMED ROBBERY,19-Dec-14,CAPTURED,2334 GARRETT AVE,BALTIMORE,MD,2334 GARRETT AVE BALTIMORE MD ,39.3172421,-76.6007184
147L05553,SHOOTING,14-Dec-14,CAPTURED,3905 W. GARRISON BLVD,BALTIMORE,MD,3905 W. GARRISON BLVD BALTIMORE MD ,39.3431253,-76.6802354
149L05518,HOME INVASION,14-Dec-14,CAPTURED,208 BRUCE STREET,BALTIMORE,MD,208 BRUCE STREET BALTIMORE MD ,39.2849141,-76.6443837
143L05061,AGGRAVATED ASSAULT,13-Dec-14,CAPTURED,1200 W. PRATT ST,BALTIMORE,MD,1200 W. PRATT ST BALTIMORE MD ,39.2857765,-76.6367489
141L04499,ARMED ROBBERY,11-Dec-14,CAPTURED,400 ROBINSON RD.,BALTIMORE,MD,400 ROBINSON RD. BALTIMORE MD ,39.2961076,-76.5730913
145L04460,ARMED ROBBERY,11-Dec-14,CAPTURED,7122 WALNUT AVE,BALTIMORE,MD,7122 WALNUT AVE BALTIMORE MD ,39.2960997,-76.6906122
147L03760,UNARMED ROBBERY,10-Dec-14,CAPTURED,800 N. BENTLOU STREET,BALTIMORE,MD,800 N. BENTLOU STREET BALTIMORE MD ,39.297429,-76.6536721
145K08768,OTHER,4-Dec-14,CAPTURED,5009 HILLEN RD.,BALTIMORE,MD,5009 HILLEN RD. BALTIMORE MD ,39.3497233,-76.5839431
148L03403,HOMICIDE,1-Dec-14,CAPTURED,2614 FREDERICK AVE,BALTIMORE,MD,2614 FREDERICK AVE BALTIMORE MD ,39.2824505,-76.6577794
144K12059,UNARMED ROBBERY,30-Nov-14,CAPTURED,4413 ORCHARD RIDGE BLVD,BALTIMORE,MD,4413 ORCHARD RIDGE BLVD BALTIMORE MD ,39.3111479,-76.5598075
146K09427,SEX OFFENSE,23-Nov-14,CAPTURED,3709 BELLEL AVE,BALTIMORE,MD,3709 BELLEL AVE BALTIMORE MD ,39.3333214,-76.6765023
144K01581,ARMED ROBBERY,22-Nov-14,CAPTURED,5601 LOCH RAVEN BLVD,BALTIMORE,MD,5601 LOCH RAVEN BLVD BALTIMORE MD ,39.3582073,-76.5872769
146K08690,ARMED ROBBERY,21-Nov-14,CAPTURED,6709 REISTERSTOWN ROAD,BALTIMORE,MD,6709 REISTERSTOWN ROAD BALTIMORE MD ,39.3587587,-76.7053739
