Event Name in iView,Type of Crime,# Event Tracks ,# GC Passed/Observed,Lat/Long,Lat,Long,Notes
3300 Garrison Ave.,Homicide & Attempted Murder,50,0,"39.326871462511185, -76.68276717341536",39.32687146,-76.68276717,
1509 N. Caroline St.,Armed Robbery,5,9,"39.30783901668669, -76.59791174458061",39.30783902,-76.59791174,
4900 Gunther Ave.,Armed Robbery,15,0,"39.32654466917916, -76.55119252923883",39.32654467,-76.55119253,
2200 Ruskin Ave,Shooting w/ Injury,52,1,"39.31530498966491, -76.64792104458037",39.31530499,-76.64792104,
300 W. Pratt St,Armed Robbery,6,3,"39.2869370945829, -76.61968927341651",39.28693709,-76.61968927,
900 E. Eager St.,Shooting w/ Injury,37,6,"39.301748614791435, -76.60470618691014",39.30174861,-76.60470619,
1800 W. Fayette,Carjacking,9,n/a,"39.28990114089192, -76.64541425807522",39.28990114,-76.64541426,
200 S. Broadway,Armed Robbery,9,10,"39.28927346433513, -76.59394351574586",39.28927346,-76.59394352,
1800 N. Mount St,Shooting w/ Injury,21,11,"39.30917860869672, -76.64518427341592",39.30917861,-76.64518427,
100 N. Central Ave.,Armed Robbery,8,8,"39.292734231897775, -76.59955935807517",39.29273423,-76.59955936,
N. Payson/Ridgehill Ave,Shooting w/ Injury,11,14,"39.311505200503255, -76.65002045992175",39.3115052,-76.65002046,
2800 Harford Road,Armed Robbery,8,n/a,"39.32170607675269, -76.59076100225089",39.32170608,-76.590761,
3400 W. Caton Ave,Carjacking,4,0,"39.2864956678829, -76.67328281574598",39.28649567,-76.67328282,
1200 W. North Ave,Shooting w/ Injury,10,1,"39.31067380363461, -76.63736153108648",39.3106738,-76.63736153,
1407 E Fayette St,Armed Robbery,15,0,"39.29286353818784, -76.59823158691047",39.29286354,-76.59823159,
5313 Belair Rd.,Armed Robbery,10,0,"39.33778324843952, -76.55181667341503",39.33778325,-76.55181667,
2100 Ramsey St,Armed Robbery,26,4,"39.283196263237585, -76.65100958691065",39.28319626,-76.65100959,
6700 Pulaski Highway,Armed Robbery,2,n/a,"39.306133416644194, -76.53756937341599",39.30613342,-76.53756937,
1500 Abbotston St,Shooting w/ Injury,7,2,"39.324170471781315, -76.59593741574476",39.32417047,-76.59593742,
1738 E. Lafayette Ave.,Homicide & Attempted Murder,n/a,n/a,"39.31100459610867, -76.59331931574526",39.3110046,-76.59331932,was n/a
4200 Norfolk Ave,Homicide & Attempted Murder,11,6,"39.32346457356813, -76.68830194458015",39.32346457,-76.68830194,
1300 Luzerne Ave,Shooting w/ Injury,n/a,n/a,"39.306107168624614, -76.58152713626728",39.30610717,-76.58152714,
825 McKean,Homicide & Attempted Murder,10,1,"39.298601638891164, -76.64643825807492",39.29860164,-76.64643826,
5600 Haddon,Homicide & Attempted Murder,2,3,"39.33770880413714, -76.70419695517877",39.3377088,-76.70419696,sup
2100 Maryland Ave,Shooting w/ Injury,n/a,n/a,"39.313432190963, -76.61842454458038",39.31343219,-76.61842454,was n/a
4501 E. Fayette St.,Homicide & Attempted Murder,n/a,8,"39.29525483606868, -76.55794450225162",39.29525484,-76.5579445,sup
617 N. Montford,Shooting w/ Injury,1,8,"39.2984593236374, -76.58347811574558",39.29845932,-76.58347812,
1500 Presstman St.,Homicide & Attempted Murder,21,3,"39.305772622814764, -76.64201741574539",39.30577262,-76.64201742,
2000 Ramsay St.,Homicide & Attempted Murder,2,7,"39.28332425414961, -76.64880737341662",39.28332425,-76.64880737,was blank
